closedday,company_name,ticker,market,price,industry,sector,prevclose,daysrange,revenue,open,wk52range,eps,volume,marketcap,dividend_yield,averagevol_3m,pe,beta,year1change,shares,nextearningsdate,crawling_YYYYMMDD,detailedmarketcap
20200828,General Electric Company,GE,NYSE,6.61,Aerospace & Defense,Capital Goods,6.48,6.47 - 6.62,87.87B,6.51,5.48 - 13.26,0.38,59161658,57.86B,0.04 (0.62%),85935738,17.48,0.95,-18.50%,8753289000 ,Oct 28 2020,20200829,57859240290 
20200828,Apple Inc,AAPL,NASDAQ,499.23,Communications Equipment,Technology,500.04,498.31 - 505.77,273.86B,504.05,204.22 - 515.14,13.16,46907479,2.13T,3.28 (0.65%),39341212,34.93,1.23,138.85%,4275634000 ,Oct 29 2020,20200829,2134520000000 
20200828,Bank of America Corp,BAC,NYSE,26.3,Regional Banks,Financial,26.05,25.99 - 26.47,50.75B,26.4,17.95 - 35.72,2.08,46466386,227.87B,0.72 (2.76%),67645058,12.72,1.59,-3.77%,8664097768 ,Oct 14 2020,20200829,227866000000 
20200828,Advanced Micro Devices Inc,AMD,NASDAQ,85.55,Semiconductors,Technology,83.8,84.19 - 86.04,7.65B,84.3,27.43 - 87.67,0.5,40723268,100.44B,N/A (N/A),60494662,161.57,2.29,172.02%,1174000000 ,Oct 15 2020,20200829,100436000000 
20200828,Ford Motor Company,F,NYSE,6.94,Auto & Truck Manufacturers,Consumer Cyclical,6.91,6.86 - 6.95,130.4B,6.93,3.96 - 9.65,-0.52,39936920,27.61B,0.45 (13.64%),76286435,N/A,1.36,-23.90%,3978388996 ,Oct 28 2020,20200829,27610019632 
20200828,Intel Corporation,INTC,NASDAQ,50.43,Semiconductors,Technology,49.4,49.46 - 50.8,78.96B,49.57,43.63 - 69.29,5.44,35384684,214.48B,1.32 (2.66%),31240697,8.99,0.7,7.60%,4253000000 ,Oct 20 2020,20200829,214479000000 
20200828,United Airlines Holdings Inc,UAL,NASDAQ,37.34,Airline,Transportation,36.22,35.89 - 37.44,31.72B,37.14,17.8 - 95.16,-6.13,35228929,10.87B,N/A (N/A),57064842,N/A,1.51,-55.91%,290983657 ,Oct 20 2020,20200829,10865329752 
20200828,Exxon Mobil Corp,XOM,NYSE,40.69,Oil & Gas Operations,Energy,39.74,39.76 - 40.92,213.86B,39.84,30.11 - 75.18,1.51,33477089,172.04B,3.48 (8.76%),22650704,28.69,1.33,-40.54%,4228000000 ,Oct 30 2020,20200829,172037000000 
20200828,Transocean Ltd,RIG,NYSE,1.35,Oil Well Services & Equipment,Energy,1.25,1.23 - 1.35,3.27B,1.25,0.76 - 7.28,-2.88,32078590,829.73M,N/A (N/A),28866235,N/A,2.66,-70.52%,614612545 ,Oct 28 2020,20200829,829726936 
20200828,Pfizer Inc,PFE,NYSE,37.91,Biotechnology & Drugs,Healthcare,37.86,37.4 - 38.06,49.2B,37.87,27.88 - 40.97,2.46,31148500,210.66B,1.52 (4.01%),30833182,15.49,0.69,7.30%,5556879807 ,Nov 03 2020,20200829,210661000000 
20200828,Salesforce.com Inc,CRM,NYSE,271.1,Software & Programming,Technology,276.32,267.4 - 275.75,19.38B,271.28,115.3 - 278.13,-0.17,28067962,244.26B,N/A (N/A),7353568,N/A,1.06,73.86%,901000000 ,Nov 18 2020,20200829,244261000000 
20200828,AT&T Inc,T,NYSE,30.04,Communications Services,Services,29.9,29.81 - 30.08,175.14B,29.94,26.08 - 39.7,1.64,26839368,214.04B,2.08 (6.96%),34086807,18.32,0.66,-14.54%,7125000000 ,Oct 22 2020,20200829,214035000000 
20200828,Microsoft Corporation,MSFT,NASDAQ,228.91,Software & Programming,Technology,226.58,226.58 - 230.64,143.02B,228.18,132.52 - 231.09,5.76,26292896,1.73T,2.04 (0.92%),34429481,36.24,0.88,65.73%,7567652935 ,Oct 22 2020,20200829,1732310000000 
20200828,Wells Fargo & Company,WFC,NYSE,24.69,Regional Banks,Financial,24.59,24.35 - 24.77,40.89B,24.75,22.01 - 54.75,0.88,25797331,101.72B,0.40 (1.63%),46376083,28.91,1.12,-46.55%,4120047105 ,Oct 14 2020,20200829,101724000000 
20200828,MGM Resorts International,MGM,NYSE,23.86,Casinos & Gaming,Services,22.81,22.97 - 24.37,9.04B,23.37,5.95 - 34.63,3.8,23232440,11.77B,0.01 (0.04%),24766969,5.74,2.32,-15.24%,493281168 ,Oct 28 2020,20200829,11769688668 
20200828,HP Inc,HPQ,NYSE,19.85,Computer Hardware,Technology,18.7,18.85 - 20.18,56.79B,19.28,12.54 - 23.93,2,22607772,28.38B,0.70 (3.77%),13428925,9.09,0.96,9.73%,1429956853 ,Dec 01 2020,20200829,28384643532 
20200828,Walmart Inc,WMT,NYSE,140.3,Retail (Grocery),Services,136.63,137.84 - 141.07,534.66B,141,102 - 141.06,5.26,21350313,397.32B,2.16 (1.58%),9335883,25.22,0.26,22.98%,2831953450 ,Nov 17 2020,20200829,397323000000 
20200828,Delta Air Lines Inc,DAL,NYSE,31.99,Airline,Transportation,30.82,30.73 - 31.99,34.06B,31.25,17.51 - 62.48,-5.83,20469731,20.41B,1.21 (5.99%),36894015,N/A,1.26,-44.73%,637856746 ,Oct 08 2020,20200829,20405037305 
20200828,Boeing Co,BA,NYSE,175.8,Aerospace & Defense,Capital Goods,174.2,172.57 - 177.28,69.26B,175.11,89.07 - 391,-5.03,20383897,99.23B,6.17 (8.65%),44762281,N/A,1.39,-51.54%,564448738 ,Oct 21 2020,20200829,99230088140 
