3D Systems Corporation|DDD|industry|Computer Peripherals
3D Systems Corporation|DDD|sector|Technology
3D Systems Corporation|DDD|price|5.96
3D Systems Corporation|DDD|Prev. Close|5.96
3D Systems Corporation|DDD|Day's Range|5.88 - 6.1
3D Systems Corporation|DDD|Revenue|566.61M
3D Systems Corporation|DDD|Open|6.05
3D Systems Corporation|DDD|52 wk Range|5.2 - 12.56
3D Systems Corporation|DDD|EPS| - 0.68
3D Systems Corporation|DDD|Volume|1836704
3D Systems Corporation|DDD|Market Cap|713.46M
3D Systems Corporation|DDD|Dividend (Yield)|N/A (N/A)
3D Systems Corporation|DDD|Average Vol. (3m)|2140900
3D Systems Corporation|DDD|P/E Ratio|N/A
3D Systems Corporation|DDD|Beta|1.63
3D Systems Corporation|DDD|1-Year Change| - 12.74%
3D Systems Corporation|DDD|Shares Outstanding|119708056
3D Systems Corporation|DDD|Next Earnings Date|Nov 03 2020
3M Company|MMM|industry|Constr. - Supplies & Fixtures
3M Company|MMM|sector|Capital Goods
3M Company|MMM|price|166.10
3M Company|MMM|Prev. Close|166.1
3M Company|MMM|Day's Range|164.52 - 166.3
3M Company|MMM|Revenue|31.35B
3M Company|MMM|Open|164.61
3M Company|MMM|52 wk Range|114.04 - 182.54
3M Company|MMM|EPS|8.82
3M Company|MMM|Volume|1607354
3M Company|MMM|Market Cap|95.68B
3M Company|MMM|Dividend (Yield)|5.88 (3.55%)
3M Company|MMM|Average Vol. (3m)|3202385
3M Company|MMM|P/E Ratio|18.83
3M Company|MMM|Beta|0.98
3M Company|MMM|1-Year Change|2.85%
3M Company|MMM|Shares Outstanding|576019442
3M Company|MMM|Next Earnings Date|Oct 27 2020
AAON Inc|AAON|industry|Misc. Capital Goods
AAON Inc|AAON|sector|Capital Goods
AAON Inc|AAON|price|57.81
AAON Inc|AAON|Prev. Close|57.81
AAON Inc|AAON|Day's Range|57.52 - 58.82
AAON Inc|AAON|Revenue|499.15M
AAON Inc|AAON|Open|58.82
AAON Inc|AAON|52 wk Range|40.48 - 61.09
AAON Inc|AAON|EPS|1.32
AAON Inc|AAON|Volume|212845
AAON Inc|AAON|Market Cap|3.02B
AAON Inc|AAON|Dividend (Yield)|0.38 (0.64%)
AAON Inc|AAON|Average Vol. (3m)|212879
AAON Inc|AAON|P/E Ratio|43.8
AAON Inc|AAON|Beta|0.72
AAON Inc|AAON|1-Year Change|22.82%
AAON Inc|AAON|Shares Outstanding|52261676
AAON Inc|AAON|Next Earnings Date|Oct 29 2020
Abbott Laboratories|ABT|industry|Medical Equipment & Supplies
Abbott Laboratories|ABT|sector|Healthcare
Abbott Laboratories|ABT|price|99.99
Abbott Laboratories|ABT|Prev. Close|99.99
Abbott Laboratories|ABT|Day's Range|99.58 - 101.22
Abbott Laboratories|ABT|Revenue|31.44B
Abbott Laboratories|ABT|Open|100.93
Abbott Laboratories|ABT|52 wk Range|61.61 - 102.89
Abbott Laboratories|ABT|EPS|1.73
Abbott Laboratories|ABT|Volume|2740192
Abbott Laboratories|ABT|Market Cap|177.04B
Abbott Laboratories|ABT|Dividend (Yield)|1.44 (1.42%)
Abbott Laboratories|ABT|Average Vol. (3m)|5542560
Abbott Laboratories|ABT|P/E Ratio|57.84
Abbott Laboratories|ABT|Beta|0.93
Abbott Laboratories|ABT|1-Year Change|17.94%
Abbott Laboratories|ABT|Shares Outstanding|1770529999
Abbott Laboratories|ABT|Next Earnings Date|Oct 14 2020
Abercrombie & Fitch Company|ANF|industry|Retail (Apparel)
Abercrombie & Fitch Company|ANF|sector|Services
Abercrombie & Fitch Company|ANF|price|10.82
Abercrombie & Fitch Company|ANF|Prev. Close|10.82
Abercrombie & Fitch Company|ANF|Day's Range|10.37 - 10.88
Abercrombie & Fitch Company|ANF|Revenue|3.37B
Abercrombie & Fitch Company|ANF|Open|10.67
Abercrombie & Fitch Company|ANF|52 wk Range|7.41 - 18.83
Abercrombie & Fitch Company|ANF|EPS| - 3.06
Abercrombie & Fitch Company|ANF|Volume|1173043
Abercrombie & Fitch Company|ANF|Market Cap|674.91M
Abercrombie & Fitch Company|ANF|Dividend (Yield)|0.8 (7.04%)
Abercrombie & Fitch Company|ANF|Average Vol. (3m)|2557892
Abercrombie & Fitch Company|ANF|P/E Ratio|N/A
Abercrombie & Fitch Company|ANF|Beta|1.4
Abercrombie & Fitch Company|ANF|1-Year Change| - 30.77%
Abercrombie & Fitch Company|ANF|Shares Outstanding|62375867
Abercrombie & Fitch Company|ANF|Next Earnings Date|Aug 27 2020
ABIOMED Inc|ABMD|industry|Medical Equipment & Supplies
ABIOMED Inc|ABMD|sector|Healthcare
ABIOMED Inc|ABMD|price|307.35
ABIOMED Inc|ABMD|Prev. Close|307.35
ABIOMED Inc|ABMD|Day's Range|303.67 - 310.62
ABIOMED Inc|ABMD|Revenue|798.06M
ABIOMED Inc|ABMD|Open|307.48
ABIOMED Inc|ABMD|52 wk Range|119.01 - 319.19
ABIOMED Inc|ABMD|EPS|3.48
ABIOMED Inc|ABMD|Volume|263670
ABIOMED Inc|ABMD|Market Cap|13.85B
ABIOMED Inc|ABMD|Dividend (Yield)|N/A (N/A)
ABIOMED Inc|ABMD|Average Vol. (3m)|423847
ABIOMED Inc|ABMD|P/E Ratio|88.35
ABIOMED Inc|ABMD|Beta|1.18
ABIOMED Inc|ABMD|1-Year Change|59.24%
ABIOMED Inc|ABMD|Shares Outstanding|45047262
ABIOMED Inc|ABMD|Next Earnings Date|Oct 29 2020
Abraxas Petroleum Corporation|AXAS|industry|Oil & Gas Operations
